Name,Description
Gravity Drop,"How to Perform this E-cise™

Wearing rubber soled shoes for traction (tennis shoes, etc.) stand on a step or stairway as though you were climbing upward. Feet are parallel, and hip-width apart.
With one hand or both, hold onto railing or other object for support.
Edge your feet backward until the heels are off the stairs and your are hanging onto the stair with the balls of your feet.
Make sure feet remain pointed straight ahead. Let the weight of your body drop your heels off the stair.
You will feel a great stretch in your low leg musculature. The key is to keep your hips over your heels and your shoulders in line with them also.
Hold.

Fun Facts

This exercise forces proper loading of all the load joints of the body by physically stacking them one atop the other."
Standing Quad Stretch,"How to Perform this E-cise™

Stand on one foot and bend the other leg back and place the top of the foot on the back of a chair or a block.
The height of the foot dictates the amount of stretch in the quadriceps muscles(thighs).
Keep your hips and shoulders square to the wall.
Try to tilt your butt under(suck and tuck).
Hold. If needed, hold onto something for balance.

Fun Facts

This exercise stretches the muscles of the hip and repositions the pelvis."
Hero's Pose,"How to Perform this E-cise™

Kneel down with your knees and ankles together and sit on your heels. If this is too difficult, place a pillow between your ankles and sit on that to raise your butt up from the ankle level.
Relax your upper body as your roll your hips forward to place the arch into your low back.
Hold.

Fun Facts

Promotes bilateral pelvic extension."
Standing Arm Circles,"How to Perform this E-cise™

Stand facing mirror with your feet pointed straight ahead. Place your finger tips into the pad of each hand and point your thumb straight out.
This hand position is imperative to the exercise being done correctly. It is called the ""golfer's grip"".
Squeeze your shoulder blades together backwards and bring your arms out to your sides at shoulder level.
With your palms facing downward, circle up and forward for the repetitions specified. With your palms facing upward, circle up and back for the desired repetitions.
Remember to keep your feet straight and your shoulder blades squeezed together.

Fun Facts

This exercise promotes bilateral lumbar function through thoracic stabilization."
Crocodile,"How to Perform this E-cise™

Lie on your back with your legs extended out straight.
Pull your toes back toward your ankles.
Put your right foot on top of the toes of your left foot ( the achilles tendon/heel should sit between the other foot's big toe and second toe).
Extend your arms out to the sides level with your shoulders, palms facing into the floor. If you crossed your left leg over to the right foot then you must keep going in that direction.
Pull the hip off the floor by rolling sideways onto the other hip.
Tighten your thighs and your butt muscles.
Hold.
Turn the head in the opposite direction. Hold this position and breathe; keep the thighs tight and your upper body relaxed.

Fun Facts

This exercise promotes knee extension and spine rotation."
Hip Crossover Stretch - Palms Up,"How to Perform this E-cise™

Lie on your back with both knees bent and your feet flat on the floor pointed straight ahead.
Place your arms out to the side at shoulder level, with your palms facing up, backs of hands on the floor.
Cross your left ankle over your right knee and rotate the ankle/knee junction down toward the floor.
Your left foot should now be flat on the floor, along with the outside of your right leg.
Look in the opposite direction and relax your neck and shoulders.
Press the left knee away from your body using the left hip muscles.
Hold as directed on your menu, then switch sides and repeat.

Fun Facts

This e-cise promotes hip and spinal rotation."
Sitting Floor,"How to Perform this E-cise™

Sit against a wall with your legs straight out in front of you.
Your buttocks and upper back should be against the wall the entire time.
Squeeze your shoulder blades together and hold.
Do not lift the shoulders; only squeeze them back and down.
Tighten the thighs and flex the feet back so that your toes are pointing back toward you.
The keys are to keep your blades pulled together, your thighs tight and your feet flexed back.
Hold as directed on your menu.

Fun Facts

This exercise promotes thoracic extension while limiting the rotation ability of the lower load joints."
Sitting Floor Twist,"How to Perform this E-cise™

Sit on the floor with your legs straight out in front of you.
Bend your right leg and cross it over the left leg.
Place the left elbow on the outside of the right knee while it is crossed over.
Roll your hips forward to create an arch in your low back.
It is very important to hold the arch throughout this e-cise.
Tighten the thigh in your straight leg and pull your toes back toward you.
Now, twist your upper body to the right using your back muscles to rotate your spine.
Turn your head to the right as your twist your back.
Hold this position and breathe.
Hold as directed on your menu and repeat on other side.

Fun Facts

This exercise promotes mid thoracic extension through rotation in a hip disparity."
Sitting Femur Rotations,"How to Perform this E-cise™

Sit on the floor with both legs extended straight out in front of you with your feet about a foot apart.
Place your hands about 4 inches behind your hips with fingers pointed away from your hips.
Tighten your thighs and pull your toes back and hold.
Roll your hips forward to place an arch in your lower back.
Initiating the motion from your hips, rotate your legs and feet in and out.
Do not lean too heavily onto your hands.
After 20 repetitions widen your feet about 2 feet apart, after another 20 repetitions widen your feet about 3 feet apart.
Repeat as directed on your menu.

Fun Facts

This exercise promotes internal and external rotation of the hip while under pelvic / spinal load."
Cats & Dogs,"How to Perform this E-cise™

Start on your hands and knees, where your wrists are placed directly under your shoulders and your knees directly underneath your hips.
CAT: Starting with your hips, tuck your pelvis to round your lower back and spine up towards the ceiling while dropping your head and pulling your shoulder blades away from each other.
DOG: Starting with your hips, roll your pelvis forward to put the arch in your back while collapsing your shoulder blades together and look up toward the ceiling. Be sure not to shrug your shoulders towards your ears.
This exercise promotes bilateral spine flexion and extension while loading the shoulder and hip joints.

Fun Facts

Our spine is a segmented bone made up of 33 vertebrae that need to work as one unit.  This E-cise helps to encourage proper movement and function of our spine as a unit."
Pelvic Tilts,"How to Perform this E-cise™

Lie on your back with your knees bent. Make sure your hips, knees and feet are aligned.
Roll your hips backward to flatten your back to the floor and then roll them forward to arch your low back. Remember to relax your upper back.
REPEAT

Fun Facts

This exercise takes the lumbar spine through flexion and extension through the pelvic movement."
Static Back Abdominal Crunches,"How to Perform this E-cise™

Lie on your back with your feet on the wall and pointed straight up, knees bent at 90 degrees.
You may also put your legs up over a block or chair.
Place your hands behind your head with fingers interlaced, keep your elbows back.
Look up and back and use your abdominal muscles to pull your upper body up off the floor about 2 inches, then return to floor.
Remember to keep your elbows back.
Do not pull on your neck with your arms/hands; use only your abdominal muscles to generate the movement.
Repeat as directed on your menu.

Fun Facts

This exercise takes the lumbar spine through flexion and extension through the pelvic movement."
Assisted Hip Lift,"How to Perform this E-cise™

Lie on your back with your feet on the wall, knees bent at about a 90 degree angle.
Keep the feet pointing straight up, in line with your knees and hips.
Cross the ankle of one foot to just above the other knee.
If doing this lifts your butt off of the floor, then scoot farther away from the wall.
Press the crossed leg toward the wall using your hip muscles.
Do not allow your hips to shift to the side.
Keep the spine in alignment.
Hold this position as directed on your menu.
Switch sides and repeat.

Fun Facts

Actions such as crossing your legs in a chair should be easily done on both sides of your body. This E-cise helps maintain this ability."
Hooklying Knee Pillow Squeezes,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet flat on the floor pointed straight ahead.
Place a towel under your lower back if instructed to do so on your menu.
Put a pillow between your knees.
Place arms out to sides at a 45 degree angle with palms up.
Squeeze your knees inward into the pillow then release.
Repeat as directed on your menu.

Fun Facts

Promotes bilateral pelvic stabilization through the adductors."
Airbench,"How to Perform this E-cise™

Stand with your back against a wall with feet and knees hip width apart and feet pointed straight.
Walk your feet away from the wall while sliding your body down at the same time.
You will be ""seated"" in an invisible chair, with your knees bent to 105 degrees.
Your hips are just slightly higher than your knees; your ankles are slightly ahead of your knees.
Your lower back should be completely flat against the wall.
Your arms can hang down to your sides, or rest your hands gently on your lap.
Hold as directed on your menu.
Keep the weight in your heels, do not press forward on your toes.
DO NOT DO THIS E-CISE IN SOCKS!
DO THIS EXERCISE IN ATHLETIC SHOES OR ON A YOGA MAT!

Fun Facts

A key component in walking is Quad strength. In this E-cise we are increasing the strength of this muscle group."
Hooklying Gluteal Contractions,"How to Perform this E-cise™

Lie on your back with your knees bent and your feet pointed straight ahead.
Lie with your arms out at 45 degrees and with your palms up.
Begin squeezing and releasing your buttocks muscles without contracting your stomach/abdominal muscles.

Fun Facts

Promotes hip stabilization through engagement of the hip extensors."
Static Wall,"How to Perform this E-cise™

Lie on your back with your legs pointed straight up and against the wall, upper body relaxed with arms out to sides at about 45 degrees and palms facing up feet should be hip width apart.
When getting into this position, get your hips as close as possible to the wall, so once you are in position your butt is also as close as possible to the wall.
If your hips are lifting off the floor then scoot your butt back until you are able to place your hips flat. As you get more functional, your hips will sit closer to the wall and be flat on the floor at the same time.
In this position tighten your thighs and pull ALL of your toes down and back evenly towards your face.
Your feet must be pointed straight(parallel) for your hips to properly do the needed work to stabilize your spine.
Hold as directed on your menu.
This exercise promotes thoracic extension while limiting the rotation ability of the lower load joints.

Fun Facts

Promotes hip stabilization through engagement of the hip extensors."
Static Back,"How to Perform this E-cise™

Lie on your back with your legs up over your inflatable large block or up over a chair/couch.
Your arms are at 45 degrees and your palms up.
Try to relax your upper back and notice if your low back is flat evenly from left to right.
HOLD

Fun Facts

This exercise creates horizontal load between shoulder and pelvis, which contributes to thoracic extension by engaging the stabilizers and flexors of the hip. This position helps prevent compensation from occurring while performing other types of muscular work."
Supine Groin Stretch,"How to Perform this E-cise™

Lie on your back with one leg up over your inflatable large block or chair.
Your other leg is straight out on the floor with it propped up from the side.
Your arms should be at 45 degrees with your palms up. Relax your upper body and notice that your low back should begin to get flatter to the floor the longer you are in this position.
HOLD and relax, then repeat on other leg.

Fun Facts

This exercise promotes an elongation of the hip and groin muscles. The effect of this action will create a chain reaction of muscular response in the upper body."
Gluteal Extensions,"How to Perform this E-cise™

Lie on your side with the leg that is on the floor bent back at a 90 degree angle at the knee.
Prop your head up with the arm that is on floor, putting your elbow straight up from the shoulder.
You can use your other hand to keep yourself stable.
Tighten the thigh of the upper leg and flex your toes back toward your head.
Raise the upper leg into the air and point the toes of the raised leg toward the floor while the heel points up toward the ceiling.
Your foot should be at the same level as your head.
Bend the knee of the raised leg slightly, then kick your leg straight.
Keep the leg elevated throughout the e-cise.
Repeat as directed on your menu, then switch sides and repeat.

Fun Facts

The exercise isolates the muscle of the lateral hip that perform the function of propelling the body at different phases of the walking motion."
Supine Hamstring Rolls,"How to Perform this E-cise™

Lie on your back with your knees bent, arms out to your sides at 45 degrees with palms facing up
Feet should be pointed straight and placed upon a 6 inch foam roll or other similar cylindrical object
Bridge your buttocks/hips up off the floor and hold them up in the air as you roll your feet back and forth (from heel to toes) on the roll
Be sure to keep your butt/hips elevated; do not let them drop
REPEAT as directed on your menu

Fun Facts

This exercise promotes proper hamstring function on a loaded pelvis."
Supine Leg Raises,"How to Perform this E-cise™

Lie on your back with one leg bent and the other leg extended straight out in front of you.
Prop yourself up on your elbows and look straight ahead.
Tighten the thigh of your straight leg and pull your toes backtoward you.
Hold this tightened position while lifting and lowering this leg from the floor up to the level of the bent leg and down again.
Repeat as directed on your menu.
Switch legs and repeat.

Fun Facts

This exercise promotes pelvic stabilization and knee extension."
Prone Ankle Squeezes,"How to Perform this E-cise™

Lie face down on the floor resting your forehead on your hands.
Your elbows should be out to the side.
Place a pillow between your ankles/feet.
Curl the pillow up to your buttocks and hold with 90 degrees bend in your knees.
Squeeze the pillow with your ankles/feet and release.
Repeat as directed on your menu.

Fun Facts

This exercise works the pelvic stabilizers using external rotators of the femur."
